event_id,STAID,BEGIN_DATE_TIME,END_DATE_TIME,peak_time,peak_flow_cfs,volume_acreft,flashiness_index,YEAR,month,day,water_year,duration_hours,time_to_peak_h,gage_lat,gage_lon,index_right,gage_flowpath-id,gage_snap_dist_m,gage_cat-id
53,02085000,2020-12-13 10:30:00+00:00,2020-12-14 07:00:00+00:00,2020-12-13 23:30:00+00:00,77.6,127.06714876033055,0.0021048572392628,2020,12,13,2021,20.5,13.0,36.071111,-79.095556,63917,wb-269654,14.77163940949128,cat-269654
54,02085000,2020-12-14 12:45:00+00:00,2020-12-16 12:30:00+00:00,2020-12-14 20:15:00+00:00,1190.0,1847.7789256198344,0.0231171933427841,2020,12,14,2021,47.75,7.5,36.071111,-79.095556,63917,wb-269654,14.77163940949128,cat-269654
55,02085000,2020-12-16 13:45:00+00:00,2020-12-18 15:15:00+00:00,2020-12-16 23:30:00+00:00,1210.0,1949.173553719008,0.0219219822889004,2020,12,16,2021,49.5,9.75,36.071111,-79.095556,63917,wb-269654,14.77163940949128,cat-269654
56,02085000,2020-12-20 12:45:00+00:00,2020-12-22 14:15:00+00:00,2020-12-20 22:15:00+00:00,341.0,837.4793388429752,0.0103272763038186,2020,12,20,2021,49.5,9.5,36.071111,-79.095556,63917,wb-269654,14.77163940949128,cat-269654
57,02085000,2020-12-24 03:30:00+00:00,2020-12-24 07:30:00+00:00,2020-12-24 05:15:00+00:00,107.0,34.95867768595041,0.0022259321090706,2020,12,24,2021,4.0,1.75,36.071111,-79.095556,63917,wb-269654,14.77163940949128,cat-269654
58,02085000,2020-12-24 14:00:00+00:00,2020-12-26 15:30:00+00:00,2020-12-24 23:00:00+00:00,1470.0,3020.030991735537,0.0181662909066065,2020,12,24,2021,49.5,9.0,36.071111,-79.095556,63917,wb-269654,14.77163940949128,cat-269654
59,02085000,2020-12-29 17:30:00+00:00,2020-12-29 21:30:00+00:00,2020-12-29 18:15:00+00:00,119.0,39.0495867768595,0.0039860488290981,2020,12,29,2021,4.0,0.75,36.071111,-79.095556,63917,wb-269654,14.77163940949128,cat-269654
60,02085000,2020-12-31 18:30:00+00:00,2021-01-01 02:45:00+00:00,2020-12-31 19:30:00+00:00,135.0,90.599173553719,0.0044286979627989,2020,12,31,2021,8.25,1.0,36.071111,-79.095556,63917,wb-269654,14.77163940949128,cat-269654
61,02085000,2021-01-01 06:00:00+00:00,2021-01-01 19:45:00+00:00,2021-01-01 13:00:00+00:00,137.0,152.0867768595041,0.0048051254671649,2021,1,1,2021,13.75,7.0,36.071111,-79.095556,63917,wb-269654,14.77163940949128,cat-269654
62,02085000,2021-01-02 03:30:00+00:00,2021-01-03 04:30:00+00:00,2021-01-02 11:00:00+00:00,239.0,399.80371900826447,0.0095833546866191,2021,1,2,2021,25.0,7.5,36.071111,-79.095556,63917,wb-269654,14.77163940949128,cat-269654
63,02085000,2021-01-03 05:15:00+00:00,2021-01-05 06:45:00+00:00,2021-01-03 13:30:00+00:00,1780.0,2396.0743801652893,0.0275501067566636,2021,1,3,2021,49.5,8.25,36.071111,-79.095556,63917,wb-269654,14.77163940949128,cat-269654
64,02085000,2021-01-08 19:00:00+00:00,2021-01-10 20:15:00+00:00,2021-01-09 07:00:00+00:00,182.0,600.051652892562,0.0046982167352537,2021,1,8,2021,49.25,12.0,36.071111,-79.095556,63917,wb-269654,14.77163940949128,cat-269654
65,02085000,2021-01-11 20:00:00+00:00,2021-01-12 07:45:00+00:00,2021-01-12 02:30:00+00:00,113.0,105.14462809917354,0.0042348411934552,2021,1,11,2021,11.75,6.5,36.071111,-79.095556,63917,wb-269654,14.77163940949128,cat-269654
66,02085000,2021-01-12 21:30:00+00:00,2021-01-13 03:45:00+00:00,2021-01-13 00:15:00+00:00,103.0,52.231404958677686,0.002283105022831,2021,1,12,2021,6.25,2.75,36.071111,-79.095556,63917,wb-269654,14.77163940949128,cat-269654
67,02085000,2021-01-14 22:00:00+00:00,2021-01-15 05:30:00+00:00,2021-01-15 00:15:00+00:00,78.0,47.4896694214876,0.0022748336001348,2021,1,14,2021,7.5,2.25,36.071111,-79.095556,63917,wb-269654,14.77163940949128,cat-269654
68,02085000,2021-01-15 19:00:00+00:00,2021-01-17 20:15:00+00:00,2021-01-16 16:45:00+00:00,82.1,313.4917355371901,0.0024402403505549,2021,1,15,2021,49.25,21.75,36.071111,-79.095556,63917,wb-269654,14.77163940949128,cat-269654
69,02085000,2021-01-18 13:30:00+00:00,2021-01-18 20:45:00+00:00,2021-01-18 16:30:00+00:00,70.1,40.85743801652893,0.004794755125006,2021,1,18,2021,7.25,3.0,36.071111,-79.095556,63917,wb-269654,14.77163940949128,cat-269654
70,02085000,2021-01-19 16:45:00+00:00,2021-01-19 22:00:00+00:00,2021-01-19 18:45:00+00:00,62.8,26.87603305785124,0.0035263003232441,2021,1,19,2021,5.25,2.0,36.071111,-79.095556,63917,wb-269654,14.77163940949128,cat-269654
71,02085000,2021-01-19 23:30:00+00:00,2021-01-20 03:45:00+00:00,2021-01-20 00:00:00+00:00,61.6,21.59917355371901,0.0010845986984815,2021,1,19,2021,4.25,0.5,36.071111,-79.095556,63917,wb-269654,14.77163940949128,cat-269654
72,02085000,2021-01-20 06:30:00+00:00,2021-01-20 08:15:00+00:00,2021-01-20 06:45:00+00:00,61.6,8.896694214876034,0.0024410089503661,2021,1,20,2021,1.75,0.25,36.071111,-79.095556,63917,wb-269654,14.77163940949128,cat-269654
73,02085000,2021-01-20 15:15:00+00:00,2021-01-20 23:00:00+00:00,2021-01-20 18:00:00+00:00,62.8,39.22210743801653,0.0053620672045756,2021,1,20,2021,7.75,2.75,36.071111,-79.095556,63917,wb-269654,14.77163940949128,cat-269654
74,02085000,2021-01-21 20:15:00+00:00,2021-01-22 20:45:00+00:00,2021-01-22 12:30:00+00:00,62.8,122.46694214876032,0.0015370221865811,2021,1,21,2021,24.5,16.25,36.071111,-79.095556,63917,wb-269654,14.77163940949128,cat-269654
75,02085000,2021-01-23 11:00:00+00:00,2021-01-23 18:00:00+00:00,2021-01-23 15:00:00+00:00,59.3,33.20867768595041,0.004088504088504,2021,1,23,2021,7.0,4.0,36.071111,-79.095556,63917,wb-269654,14.77163940949128,cat-269654
76,02085000,2021-01-24 13:45:00+00:00,2021-01-24 21:15:00+00:00,2021-01-24 17:15:00+00:00,54.8,32.840909090909086,0.0052403875449393,2021,1,24,2021,7.5,3.5,36.071111,-79.095556,63917,wb-269654,14.77163940949128,cat-269654
77,02085000,2021-01-24 23:30:00+00:00,2021-01-25 10:30:00+00:00,2021-01-25 01:45:00+00:00,59.3,51.00929752066116,0.0061471346420781,2021,1,24,2021,11.0,2.25,36.071111,-79.095556,63917,wb-269654,14.77163940949128,cat-269654
78,02085000,2021-01-26 01:15:00+00:00,2021-01-28 02:45:00+00:00,2021-01-26 20:15:00+00:00,198.0,565.2923553719008,0.0078786333503314,2021,1,26,2021,49.5,19.0,36.071111,-79.095556,63917,wb-269654,14.77163940949128,cat-269654
